name,taxa,scientificname,genus,family,taxonomic_level
Prosthechea vespa,plants,Prosthechea vespa,Prosthechea,Orchidaceae,species
Ladenbergia amazonensis,plants,Ladenbergia amazonensis,Ladenbergia,Rubiaceae,species
Hevea guianensis,plants,Hevea guianensis,Hevea,Euphorbiaceae,species
Matayba,plants,,Matayba,Sapindaceae,genus
Leptobalanus,plants,,Leptobalanus,Chrysobalanaceae,genus
Laetia,plants,,Laetia,Salicaceae,genus
Cybianthus guyanensis,plants,Cybianthus guyanensis,Cybianthus,Primulaceae,species
Anthurium gracile,plants,Anthurium gracile,Anthurium,Araceae,species
Zanthoxylum,plants,,Zanthoxylum,Rutaceae,genus
Carapichea affinis,plants,Carapichea affinis,Carapichea,Rubiaceae,species
Cespedesia,plants,,Cespedesia,Ochnaceae,genus
Passiflora hexagonocarpa,plants,Passiflora hexagonocarpa,Passiflora,Passifloraceae,species
Lecythidaceae,plants,,,Lecythidaceae,family
Eugenia patens,plants,Eugenia patens,Eugenia,Myrtaceae,species
Ocotea cujumary,plants,Ocotea cujumary,Ocotea,Lauraceae,species
Humiria,plants,,Humiria,Humiriaceae,genus
Mabea angularis,plants,Mabea angularis,Mabea,Euphorbiaceae,species
Microcalpe,plants,,Microcalpe,Sematophyllaceae,genus
Philodendron insigne,plants,Philodendron insigne,Philodendron,Araceae,species
Ocotea pauciflora,plants,Ocotea pauciflora,Ocotea,Lauraceae,species
Ichthyothere terminalis,plants,Ichthyothere terminalis,Ichthyothere,Asteraceae,species
Peltogyne,plants,,Peltogyne,Fabaceae,genus
Clusiella,plants,,Clusiella,Calophyllaceae,genus
Hevea,plants,,Hevea,Euphorbiaceae,genus
Pariana intermedia,plants,Pariana intermedia,Pariana,Poaceae,species
Cololejeunea,plants,,Cololejeunea,Lejeuneaceae,genus
Passovia pedunculata,plants,Passovia pedunculata,Passovia,Loranthaceae,species
Maripa glabra,plants,Maripa glabra,Maripa,Convolvulaceae,species
Gustavia elliptica,plants,Gustavia elliptica,Gustavia,Lecythidaceae,species
Bredemeyera,plants,,Bredemeyera,Polygalaceae,genus
Cyperus laxus,plants,Cyperus laxus,Cyperus,Cyperaceae,species
Connarus coriaceus,plants,Connarus coriaceus,Connarus,Connaraceae,species
Ouratea pendulosepala,plants,Ouratea pendulosepala,Ouratea,Ochnaceae,species
Leonia ulei,plants,Leonia ulei,Leonia,Violaceae,species
Genlisea filiformis,plants,Genlisea filiformis,Genlisea,Lentibulariaceae,species
Scleronema grandiflorum,plants,Scleronema grandiflorum,Scleronema,Malvaceae,species
Leucomiaceae,plants,,,Leucomiaceae,family
Cissampelos,plants,,Cissampelos,Menispermaceae,genus
Sciaphila,plants,,Sciaphila,Triuridaceae,genus
Myrcia magnoliifolia,plants,Myrcia magnoliifolia,Myrcia,Myrtaceae,species
Maxillaria parkeri,plants,Maxillaria parkeri,Maxillaria,Orchidaceae,species
Wissadula excelsior,plants,Wissadula excelsior,Wissadula,Malvaceae,species
Vismia cayennensis,plants,Vismia cayennensis,Vismia,Hypericaceae,species
Mandevilla,plants,,Mandevilla,Apocynaceae,genus
Talisia,plants,,Talisia,Sapindaceae,genus
Syngonanthus williamsii,plants,Syngonanthus williamsii,Syngonanthus,Eriocaulaceae,species
Matayba opaca,plants,Matayba opaca,Matayba,Sapindaceae,species
Alpinia purpurata,plants,Alpinia purpurata,Alpinia,Zingiberaceae,species
Miconia dispar,plants,Miconia dispar,Miconia,Melastomataceae,species
Desmoncus,plants,,Desmoncus,Arecaceae,genus
Eryngium aquaticum var aquaticum,plants,Eryngium aquaticum var aquaticum,Eryngium,Apiaceae,species
